b5,s5,b10,s10,b30,s30,b60,s60,b120,s120,b240,s240,b720,s720,b1440,s1440
525.5054575,293.0140045,852.9558456,673.4582797,2148.2926308,2032.4577774,5200.3599448,4443.1865924,10405.1037266,9624.4359163,22301.7933232,21553.1557812,104327.0794439,104671.4794165,242239.4359228,239793.6552704
b5,s5,b10,s10,b30,s30,b60,s60,b120,s120,b240,s240,b720,s720,b1440,s1440
201.4023824,351.58608,412.5761558,590.5393118,2002.3472814,2257.4631916,4186.057266,4454.9980631,9894.3645337,9385.7571112,20251.3078649,19365.4293575,102887.2503913,104040.7058908,241527.4305206,239516.3416372
