b5,s5,b10,s10,b30,s30,b60,s60,b120,s120,b240,s240,b720,s720,b1440,s1440
474.9610258,63.6520324,620.0270834,245.804665,1812.8227545,1472.3538179,4864.0555894,3285.3169973,8298.7810351,7110.7374583,24186.564825,21026.6096492,110631.1303973,109686.2911607,243475.0472835,234384.6508234
b5,s5,b10,s10,b30,s30,b60,s60,b120,s120,b240,s240,b720,s720,b1440,s1440
52.6331862,451.5187372,147.2032136,573.8589244,1015.3671237,1660.0705529,2844.6699961,3891.6455591,7852.7926806,6830.5440793,20182.8163221,16603.1692174,109275.0244176,109963.401202,242628.429438,234615.6867986
